SessionID,Cluster,Steps,InitBKT,FinalBKT,GainBKT,TrueGain,Hints,Errors
sim_cluster_0_77_1766737299,Struggling_Persisting,10,0.2,0.17177629351248838,-0.02822370648751163,0.0,0,8
sim_cluster_0_70_1766737293,Struggling_Persisting,10,0.2,0.0,-0.2,0.0,0,8
sim_cluster_0_86_1766737302,Struggling_Persisting,10,0.1,0.17142859998559548,0.07142859998559548,0.0,0,9
sim_cluster_0_85_1766737302,Struggling_Persisting,10,0.1,0.32859682039914195,0.22859682039914195,0.0,0,6
sim_cluster_0_81_1766737302,Struggling_Persisting,10,0.1,0.17142859998559548,0.07142859998559548,0.0,0,9
sim_cluster_0_76_1766737297,Struggling_Persisting,10,0.2,0.1986259996066548,-0.0013740003933452039,0.0,0,8
sim_cluster_0_89_1766737305,Struggling_Persisting,10,0.2,0.17375309123400468,-0.026246908765995336,0.0,0,8
sim_cluster_0_79_1766737301,Struggling_Persisting,10,0.2,0.1714359710722583,-0.028564028927741708,0.0,0,9
sim_cluster_0_84_1766737302,Struggling_Persisting,10,0.1,0.17142859998559548,0.07142859998559548,0.0,0,9
sim_cluster_0_93_1766737308,Struggling_Persisting,10,0.2,0.9836049571124373,0.7836049571124373,0.0,0,6
sim_cluster_0_88_1766737305,Struggling_Persisting,10,0.2,0.1869490589407687,-0.013050941059231325,0.0,0,8
sim_cluster_0_91_1766737305,Struggling_Persisting,10,0.2,0.17142857156855684,-0.02857142843144317,0.0,0,10
sim_cluster_0_90_1766737305,Struggling_Persisting,10,0.2,0.1735753212198376,-0.026424678780162414,0.0,1,8
sim_cluster_0_92_1766737308,Struggling_Persisting,10,0.2,0.1714359710722583,-0.028564028927741708,0.0,0,9
sim_cluster_0_95_1766737309,Struggling_Persisting,10,0.2,0.17142857156855684,-0.02857142843144317,0.0,0,10
sim_cluster_0_82_1766737302,Struggling_Persisting,10,0.2,0.8604121272030963,0.6604121272030963,0.0,2,6
sim_cluster_0_100_1766737312,Struggling_Persisting,10,0.1,0.1858448950212323,0.0858448950212323,0.0,1,7
sim_cluster_0_98_1766737311,Struggling_Persisting,10,0.1,0.1715121158332587,0.0715121158332587,0.0,1,7
sim_cluster_0_96_1766737311,Struggling_Persisting,10,0.1,0.1714306869275862,0.0714306869275862,0.0,0,8
sim_cluster_0_87_1766737303,Struggling_Persisting,10,0.2,0.9755691319237799,0.7755691319237799,0.0,1,5
sim_cluster_0_103_1766737313,Struggling_Persisting,10,0.2,0.17554355066270413,-0.024456449337295877,0.0,0,8
sim_cluster_0_101_1766737313,Struggling_Persisting,10,0.2,0.32266005613928744,0.12266005613928743,0.0,1,7
sim_cluster_0_94_1766737309,Struggling_Persisting,10,0.2,0.8555270137550844,0.6555270137550844,0.0,3,5
sim_cluster_0_109_1766737316,Struggling_Persisting,10,0.1,0.18701666694262453,0.08701666694262453,0.0,0,7
sim_cluster_0_104_1766737314,Struggling_Persisting,10,0.2,0.17142857156855684,-0.02857142843144317,0.0,0,10
sim_cluster_0_106_1766737314,Struggling_Persisting,5,0.2,0.9736111528641033,0.7736111528641032,0.0,0,2
sim_cluster_0_99_1766737312,Struggling_Persisting,10,0.2,0.17148478988925997,-0.02851521011074004,0.0,0,8
sim_cluster_0_97_1766737311,Struggling_Persisting,10,0.1,0.17142859998559548,0.07142859998559548,0.0,0,9
sim_cluster_0_111_1766737317,Struggling_Persisting,10,0.1,0.0,-0.1,0.0,0,7
sim_cluster_0_102_1766737313,Struggling_Persisting,10,0.2,0.17147885717404582,-0.028521142825954193,0.0,0,9
sim_cluster_0_107_1766737315,Struggling_Persisting,10,0.2,0.2665937471117622,0.06659374711176219,0.0,0,9
sim_cluster_0_105_1766737314,Struggling_Persisting,10,0.2,0.17174512375458664,-0.02825487624541337,0.0,1,8
sim_cluster_0_108_1766737315,Struggling_Persisting,10,0.2,0.874890801257127,0.6748908012571271,0.0,1,6
sim_cluster_0_113_1766737318,Struggling_Persisting,10,0.1,0.17142859998559548,0.07142859998559548,0.0,0,9
sim_cluster_0_110_1766737316,Struggling_Persisting,10,0.2,0.1714287363873539,-0.028571263612646114,0.0,0,9
sim_cluster_0_118_1766737323,Struggling_Persisting,10,0.2,0.18493027462438005,-0.015069725375619958,0.0,2,7
sim_cluster_0_117_1766737322,Struggling_Persisting,10,0.2,0.17203644424780234,-0.027963555752197666,0.0,0,8
sim_cluster_0_112_1766737318,Struggling_Persisting,10,0.2,0.2665937471117622,0.06659374711176219,0.0,0,9
sim_cluster_0_114_1766737319,Struggling_Persisting,10,0.1,0.26030261443404346,0.16030261443404345,0.0,1,7
